Identificador,Nombre,Categoría,Normativa
2563,Actitis hypoleucos,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15005,Aegypius monachus,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
97135,Aeshna,-,-
114063,Afruca tangeri,-,-
105888,Agriades zullichi,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106800,Agrodiaetus violetae,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16199,Aix galericulata,-,-
105771,Aix sponsa,-,-
2601,Alca torda,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2647,Alcedo atthis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16195,Alopochen aegyptiaca,-,-
3571,Anaecypris hispanica,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2451,Anas,-,-
2455,Anas acuta,-,-
15007,Anas crecca,-,-
15002,Anas platyrhynchos,-,-
1430,Anax imperator,-,-
3641,Anguilla anguilla,-,-
15011,Anser anser,-,-
15010,Anser fabalis,-,-
3502,Aphanius baeticus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
3501,Aphanius iberus,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108091,Aplysina,LAESRPE,Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden AAA/75/2012)-
108092,Aplysina aerophoba,LAESRPE,Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden AAA/75/2012)-
2643,Apus caffer,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15018,Aquila adalberti,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15017,Aquila chrysaetos,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108386,Arbaciella elegans,-,-
15136,Ardea alba,-,-
2422,Ardea cinerea,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2423,Ardea purpurea,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2434,Ardeola ralloides,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2542,Arenaria interpres,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2629,Asio flammeus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
114060,Asterina phylactica,-,-
106647,Astroides calycularis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108388,Astrospartus mediterraneus,-,-
119663,Austropotamobius pallipes,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108098,Axinella polypoides,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2476,Aythya ferina,-,-
2478,Aythya fuligula,-,-
16206,Aythya marila,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2477,Aythya nyroca,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
13433,Baetica ustulata,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108105,Barnea candida,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2426,Botaurus stellaris,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119786,Boyeria irene,-,-
15124,Branta bernicla,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15126,Branta leucopsis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2432,Bubulcus ibis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16293,Bucephala clangula,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2529,Burhinus oedicnemus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108399,Bursa scrobilator,-,-
16197,Cairina moschata,-,-
2543,Calidris,-,-
2544,Calidris alba,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2545,Calidris alpina,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16238,Calidris canutus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16245,Calidris ferruginea,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16246,Calidris maritima,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2546,Calidris minuta,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2548,Calidris pugnax,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15127,Calidris temminckii,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
113939,Calonectris borealis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15129,Calonectris diomedea,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119788,Calopteryx haemorrhoidalis,-,-
105981,Calopteryx virgo,-,-
108110,Calyx nicaeensis,-,-
106659,Centrostephanus longispinus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119790,Chalcolestes viridis,-,-
2532,Charadrius,-,-
2535,Charadrius alexandrinus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2534,Charadrius dubius,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2533,Charadrius hiaticula,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
16231,Charadrius morinellus,-,-
108949,Charonia lampas,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2208,Chersophilus duponti,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
105,Chiroptera,-,-
2588,Chlidonias,-,-
2590,Chlidonias hybrida,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15135,Chlidonias leucopterus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2572,Chroicocephalus genei,-,-
2574,Chroicocephalus ridibundus,-,-
2441,Ciconia ciconia,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2442,Ciconia nigra,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2461,Circus aeruginosus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15009,Circus cyaneus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2459,Circus pygargus,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108116,Cladocora caespitosa,LAESRPE,Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden TEC/596/2019)-
15132,Clangula hyemalis,-,-
114059,Cochlis vittata,-,-
2651,Coracias garrulus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119793,Cordulegaster boltonii,-,-
108379,Cribrinopsis crassa,-,-
119795,Crocothemis erythraea,-,-
101658,Cygnus atratus,-,-
15134,Cygnus olor,-,-
114057,Cymbula safiana,-,-
108150,Dendrophyllia cornigera,-,-
108380,Dendrophyllia laboreli,-,-
108151,Dendrophyllia ramea,-,-
114065,Dendropoma lebeche,-,-
107368,Donacilla cornea,-,-
2437,Egretta garzetta,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2436,Egretta gularis,-,-
15030,Elanus caeruleus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108157,Ellisella paraplexauroides,LAESRPE,Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden TEC/596/2019)-
114058,Episcomitra zonata,-,-
106054,Euchloe bazae,En peligro de extinción,Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden TEC/596/2019)-
108381,Eunicella filiformis,-,-
108167,Eunicella gazella,-,-
108168,Eunicella labiata,-,-
108169,Eunicella verrucosa,-,-
2486,Falco naumanni,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2488,Falco peregrinus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2510,Fulica atra,-,-
2511,Fulica cristata,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2567,Gallinago gallinago,-,-
2508,Gallinula chloropus,-,-
2402,Gavia arctica,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15064,Gavia immer,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2401,Gavia stellata,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2583,Gelochelidon nilotica,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108173,Gerardia savaglia,-,-
2448,Geronticus eremita,Extinta,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2531,Glareola pratincola,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108328,Gnathophyllum elegans,-,-
13436,Gomphus graslinii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
119800,Gomphus pulchellus,-,-
106071,Gomphus simillimus,-,-
2517,Grus grus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2457,Gyps fulvus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108179,Hacelia attenuata,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2523,Haematopus ostralegus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108183,Halocynthia papillosa,-,-
15023,Hieraaetus fasciatus,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15024,Hieraaetus pennatus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2527,Himantopus himantopus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108193,Homarus gammarus,-,-
2415,Hydrobates pelagicus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2573,Hydrocoloeus minutus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15111,Hydroprogne caspia,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
114062,Isara cornea,-,-
2428,Ixobrychus minutus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2570,Larus,-,-
2577,Larus argentatus,-,-
2576,Larus audouinii,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
2575,Larus canus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
15066,Larus delawarensis,-,-
2579,Larus fuscus,-,-
15069,Larus marinus,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
