Nº Ejemplar (Guía);Código;Nombre Singular (Guía);Especie Científica;Emplazamiento (Guía);Barrio;Distrito;Altura Guía (m);Perímetro Guía (cm);Idx DB Recomendado;Idx DB Elegido (RELLENAR/CONFIRMAR);Tipo Coincidencia;Candidatos en DB (Alternativas)
1;N08;La Araucaria de la Torre Norte;Araucaria heterophylla;Parque de María Luisa. Torre Norte;El Prado-Parque de María Luisa;Sur;44;310;151630;;DUDOSO (5 candidatos);"Idx 151630 (H: 5.5m, Pos: 37.37223, -5.990206); Idx 152119 (H: 15.0m, Pos: 37.371964, -5.990281); Idx 159329 (H: 20.0m, Pos: 37.371646, -5.986851); Idx 159542 (H: 10.0m, Pos: 37.376428, -5.990584); Idx 159561 (H: 6.0m, Pos: 37.376109, -5.990633)"
2;N06;El Plátano de de Juanita Reina;Platanus x hispanica Mill;Parque de María Luisa. Glorieta de Juanita Reina.;El Prado-Parque de María Luisa;Sur;25;442;60260;;DUDOSO (11 candidatos);"Idx 60260 (H: 9.0m, Pos: 37.376502, -5.984668); Idx 60263 (H: 8.0m, Pos: 37.376296, -5.984743); Idx 60468 (H: 8.0m, Pos: 37.377858, -5.984164); Idx 60469 (H: 8.0m, Pos: 37.377878, -5.984234); Idx 60470 (H: 15.0m, Pos: 37.377904, -5.984357)"
3;U03;El Árbol de las Cigüeñas;Casuarina equisetifolia L;Antiguo cuartel Daoiz y Velarde. Junto a la SE-30;Bellavista;Bellavista-La Palmera;20.9;319;129443;;DUDOSO (110 candidatos);"Idx 129443 (H: 9.5m, Pos: 37.346198, -5.988293); Idx 129444 (H: 9.0m, Pos: 37.346257, -5.987999); Idx 129448 (H: -m, Pos: 37.346067, -5.988159); Idx 129455 (H: 8.0m, Pos: 37.346177, -5.988032); Idx 129465 (H: 10.0m, Pos: 37.346226, -5.987835)"
4;N33;El Ciprés del de San Fernando;Cupressus sempervirens L;Avda. Doctor Fedriani Cementerio San Fernando;San Jerónimo;Norte;23;279;6703;;DUDOSO (92 candidatos);"Idx 6703 (H: 8.0m, Pos: 37.414242, -5.967576); Idx 17341 (H: 3.5m, Pos: 37.403945, -5.968409); Idx 17342 (H: 3.5m, Pos: 37.40397, -5.968336); Idx 17377 (H: 3.5m, Pos: 37.403893, -5.968555); Idx 20921 (H: 8.0m, Pos: 37.413334, -5.966725)"
5;S02;El Eucalipto de Pedro Salinas;Eucalyptus camaldulensis Dehnh;Calle Pedro Salinas;El Porvenir;Sur;42;530;61616;;DUDOSO (6 candidatos);"Idx 61616 (H: 21.0m, Pos: 37.370554, -5.979693); Idx 178152 (H: 12.0m, Pos: 37.369058, -5.982003); Idx 178153 (H: 7.0m, Pos: 37.369044, -5.981973); Idx 178154 (H: 12.0m, Pos: 37.369014, -5.982049); Idx 178155 (H: 10.0m, Pos: 37.368911, -5.981979)"
6;N11;El Gran Capitán;Eucalyptus camaldulensis Dehnh;Paseo de Catalina de Ribera;Santa Cruz;Casco Antiguo;55;530;91854;;DUDOSO (11 candidatos);"Idx 91854 (H: 41.0m, Pos: 37.377736, -5.991694); Idx 133982 (H: 26.0m, Pos: 37.382187, -5.988762); Idx 162167 (H: 25.0m, Pos: 37.395988, -5.982649); Idx 162187 (H: 24.0m, Pos: 37.396126, -5.982544); Idx 179404 (H: 22.0m, Pos: 37.380486, -5.994831)"
7;P22;El Eucalipto del Parking del;Eucalyptus camaldulensis Dehnh;Calle del Cristo de las Cinco Llagas. Parking el Valle;Santa Catalina;Casco Antiguo;34;795;91854;;DUDOSO (11 candidatos);"Idx 91854 (H: 41.0m, Pos: 37.377736, -5.991694); Idx 133982 (H: 26.0m, Pos: 37.382187, -5.988762); Idx 162167 (H: 25.0m, Pos: 37.395988, -5.982649); Idx 162187 (H: 24.0m, Pos: 37.396126, -5.982544); Idx 179404 (H: 22.0m, Pos: 37.380486, -5.994831)"
8;D14;El Ficus del Altozano;Ficus elastica Roxb;Plaza del Altozano;Triana C. Antiguo;Triana;27;130;5719;;DUDOSO (13 candidatos);"Idx 5719 (H: 20.0m, Pos: 37.381593, -6.013041); Idx 6975 (H: 6.0m, Pos: 37.385443, -6.010538); Idx 7056 (H: 5.5m, Pos: 37.385778, -6.012213); Idx 8197 (H: 14.0m, Pos: 37.381525, -6.007392); Idx 8198 (H: 14.0m, Pos: 37.381748, -6.007609)"
9;K10;El Ficus del Foso de la Universidad;Ficus macrophylla Desf;Calle Palos de la Frontera;Santa Cruz;Casco Antiguo;12;612;91676;;DUDOSO (10 candidatos);"Idx 91676 (H: 12.0m, Pos: 37.377302, -5.991775); Idx 91682 (H: 12.0m, Pos: 37.377322, -5.991818); Idx 93533 (H: 18.0m, Pos: 37.380665, -5.99248); Idx 128942 (H: 26.0m, Pos: 37.376676, -5.99121); Idx 128994 (H: 25.0m, Pos: 37.37615, -5.99147)"
10;N19;El Ficus de la Pila del;Ficus microcarpa L;Plaza de San Leandro Pila del Pato;San Bartolomé;Casco Antiguo;18;477;97813;;DUDOSO (16 candidatos);"Idx 97813 (H: 14.0m, Pos: 37.391186, -5.988491); Idx 103307 (H: 10.0m, Pos: 37.403472, -5.99625); Idx 103369 (H: 10.0m, Pos: 37.40355, -5.996418); Idx 128548 (H: 7.0m, Pos: 37.402665, -5.997327); Idx 128550 (H: 7.0m, Pos: 37.402573, -5.997417)"
11;E16;El Ficus de Chapina;Ficus microcarpa L;Canal Histórico del Guadalquivir. Paseo de Chapina.;Museo;Casco Antiguo;15;197;161947;161947;UNICO SEGURO;Idx: 161947 (H: 15.0m, Pos: 37.387139, -6.002608)
12;K13;El Magnolio de la Catedral;Magnolia grandiflora L;Avenida de la Constitución junto a la Catedral.;Santa Cruz;Casco Antiguo;14;230;121066;;DUDOSO (9 candidatos);"Idx 121066 (H: 13.0m, Pos: 37.385239, -5.993737); Idx 129967 (H: 6.0m, Pos: 37.381097, -5.994529); Idx 133909 (H: 8.5m, Pos: 37.384284, -5.993371); Idx 133911 (H: 15.0m, Pos: 37.384276, -5.987888); Idx 133997 (H: 15.0m, Pos: 37.384207, -5.987953)"
13;D34;El Sahuaro de la Expo;Pachycereus pringlei;Calle Tomás Alva Edison esquina con Calle Johannes Kepler;Triana Oeste (Cartuja);Triana;7;232;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
14;M01;La Palmera de Jardines de las;Phoenix reclinata Jacq;Jardines de las Delicias;Prado, Parque de María Luisa;Sur;9;970;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
15;J11;El Pino de los Jardines de Cristina;Pinus pinea L;Jardines de Cristina;Prado, Santa Cruz;Casco Antiguo;25;280;114149;;DUDOSO (8 candidatos);"Idx 114149 (H: 2.0m, Pos: 37.383882, -5.987281); Idx 129818 (H: 18.0m, Pos: 37.381611, -5.994228); Idx 190093 (H: 12.0m, Pos: 37.380345, -5.994747); Idx 190094 (H: 12.0m, Pos: 37.380303, -5.994748); Idx 190103 (H: 15.0m, Pos: 37.379708, -5.994393)"
16;N05;El Pino del Monte Gurugú;Pinus pinea L;Parque de María Luisa Monte Gurugú;El Prado Parque de María Luisa;Sur;25;370;177889;;DUDOSO (5 candidatos);"Idx 177889 (H: 11.0m, Pos: 37.379843, -5.98852); Idx 152095 (H: 13.0m, Pos: 37.370419, -5.990329); Idx 159325 (H: 8.0m, Pos: 37.372675, -5.985742); Idx 160011 (H: 18.0m, Pos: 37.373267, -5.987487); Idx 160986 (H: 7.0m, Pos: 37.372685, -5.985689)"
17;O27;El Plátano de la Muralla;Platanus x hispanica Mill Ex M;Calle Muñoz León 15 Muralla de la Macarena;San Gil;Casco Antiguo;27;420;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
18;M07;El Taxodium de Bécquer;Taxodium distichum;Parque de María Luisa Glorieta de Bécquer;Prado-Parque de María Luisa;Sur;33;582;151573;;DUDOSO (27 candidatos);"Idx 151573 (H: 18.0m, Pos: 37.371554, -5.99026); Idx 151626 (H: 18.0m, Pos: 37.370969, -5.990443); Idx 151636 (H: 3.5m, Pos: 37.371897, -5.99017); Idx 151639 (H: 3.0m, Pos: 37.372053, -5.990295); Idx 152104 (H: 16.0m, Pos: 37.370911, -5.990351)"
19;N05;El Taxodium la Isleta de los;Taxodium distichum;Parque de María Luisa Isla de los Patos;Prado-Parque de María Luisa;Sur;35.7;540;151573;;DUDOSO (27 candidatos);"Idx 151573 (H: 18.0m, Pos: 37.371554, -5.99026); Idx 151626 (H: 18.0m, Pos: 37.370969, -5.990443); Idx 151636 (H: 3.5m, Pos: 37.371897, -5.99017); Idx 151639 (H: 3.0m, Pos: 37.372053, -5.990295); Idx 152104 (H: 16.0m, Pos: 37.370911, -5.990351)"
20;L09;La Lagunaria Espacio Lope;Lagunaria patersonia;Antiguos Jardines de San Telmo (La Madrina);Santa Cruz;Casco Antiguo;22;275;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
21;N07;El Plátano de Avenida de Bécquer;Platanus x hispanica Mill;Parque de María Luisa Avenida de Bécquer;Prado, Parque de María Luisa;Sur;23;470;60260;;DUDOSO (11 candidatos);"Idx 60260 (H: 9.0m, Pos: 37.376502, -5.984668); Idx 60263 (H: 8.0m, Pos: 37.376296, -5.984743); Idx 60468 (H: 8.0m, Pos: 37.377858, -5.984164); Idx 60469 (H: 8.0m, Pos: 37.377878, -5.984234); Idx 60470 (H: 15.0m, Pos: 37.377904, -5.984357)"
22;C02;El Eucalipto Arpa del Guadalquivir;Eucalyptus camaldulensis Dehnh;Anillo verde. Ribera del Río Guadalquivir;Tablada;Los Remedios;18.5;300;11043;11043;UNICO SEGURO;Idx: 11043 (H: 30.0m, Pos: 37.368457, -6.003958)
23;M07;La Palmera multicaule de Conde de Colombí;Phoenix dactylifera L;Parque de María Luisa Avenida Conde de Colombí;Prado, Parque de María Luisa;Sur;15.8;875;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
24;D04;La Tipuana del Parque de los;Tipuana tipu;Parque de los Príncipes;Los Remedios;Los Remedios;32;324;90340;;DUDOSO (278 candidatos);"Idx 90340 (H: 15.0m, Pos: 37.371747, -6.004323); Idx 90343 (H: 15.0m, Pos: 37.371748, -6.004436); Idx 90350 (H: 16.0m, Pos: 37.371768, -6.004205); Idx 90354 (H: 15.5m, Pos: 37.371764, -6.004551); Idx 90359 (H: 16.0m, Pos: 37.371784, -6.004687)"
25;N14;El Guayabo de la Plaza de Santa;Acca sellowiana O;Plaza de Santa Cruz;Santa Cruz;Casco Antiguo;6;78;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
26;G14;La Acacia visco del Paseo de;Parasenegalia visco;Paseo Colón frente a la Maestranza;El Arenal;Casco Antiguo;12.3;175;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
27;J17;La Palmera de Entrecárceles;Phoenix dactylifera L;Encuentro de la Calle Entrecár- celes con Calle Francisco Bruna;Alfalfa;Casco Antiguo;18;520;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
28;U11;La Bucida del Celestino;Bucida buceras L;Parque Celestino Mutis;La Oliva;Sur;6;62;168137;168137;UNICO SEGURO;Idx: 168137 (H: 7.0m, Pos: 37.364807, -5.973562)
29;N01;El Boj Gigante de Delicias;Buxus sempervirens L;Jardín de las Delicias de Arjona;Prado, Parque de María Luisa;Sur;7.5;62;151972;151972;UNICO SEGURO;Idx: 151972 (H: 7.5m, Pos: 37.370319, -5.989)
30;;El Podocarpo Parque de María;Podocarpus neriifolius D;Parque de María Luisa entre trasera de Pabellón Real y Monte Gurugú;Prado, Parque de María Luisa;Sur;15;212;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
31;G06;La Tipuana de la Calle Arcos;Tipuana tipu;Calle Arcos a la altura confluencia con Virgen de Loreto;Los Remedios;Los Remedios;18;276;90340;;DUDOSO (278 candidatos);"Idx 90340 (H: 15.0m, Pos: 37.371747, -6.004323); Idx 90343 (H: 15.0m, Pos: 37.371748, -6.004436); Idx 90350 (H: 16.0m, Pos: 37.371768, -6.004205); Idx 90354 (H: 15.5m, Pos: 37.371764, -6.004551); Idx 90359 (H: 16.0m, Pos: 37.371784, -6.004687)"
32;C25;El Palo de Campeche del Jardín Americano;Haematoxylum campechianum L;Jardín Americano;Recinto Cartuja, orilla Dársena;Triana;7;278;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
33;M08;El Ficus de la de Gabriela Ortega;Ficus macrophylla Pers;Parque de María Luisa Glorieta de Gabriela Ortega;Parque de María Luisa;Sur;25;1000;196616;;DUDOSO (21 candidatos);"Idx 196616 (H: 5.0m, Pos: 37.378694, -5.989704); Idx 196617 (H: 7.0m, Pos: 37.378683, -5.989712); Idx 196618 (H: 6.0m, Pos: 37.378657, -5.989729); Idx 196619 (H: 6.0m, Pos: 37.37865, -5.989734); Idx 196620 (H: -m, Pos: 37.378641, -5.98974)"
34;;La Sabina de del Parque de;Tetacrinis articulata;Parque de María Luisa junto a la glorieta de Los Toreros;Prado, Parque de María Luisa;Sur;16;185;;MANUAL;SIN CANDIDATOS EN CENSO;No se encontraron árboles de esta especie en la zona.
35;M04;El Pino Canario Pabellón de Guatemala;Pinus canariensis C;Parque de las Delicias junto al Pabellón de Guatemala;Prado, Parque de María Luisa;Sur;15;212;177889;;DUDOSO (2 candidatos);"Idx 177889 (H: 11.0m, Pos: 37.379843, -5.98852); Idx 151747 (H: 23.0m, Pos: 37.374009, -5.990977)"
36;U06;El Ficus de Cros Pirotecnia;Ficus microcarpa L;Parque Rectora Rosario Valpuesta 50;Huerta de la Salud 40;Sur 30;18;415;60926;60926;UNICO SEGURO;Idx: 60926 (H: 10.0m, Pos: 37.37661, -5.981927)
37;;El Caqui de la Glorieta de;Diospyros virginiana L;Parque de María Luisa entre la Glorieta de Covadonga y el Pabellón de Telefónica de la Exposición;Parque de María Luisa;Sur;10;116;182916;182916;UNICO SEGURO;Idx: 182916 (H: 10.0m, Pos: 37.374448, -5.986421)
38;M02;El Plátano del Jardín de las;Platanus x hispanica Mill;Cerramiento del Jardín de las Delicias hacia antigua Avenida de Santiago Montoto;Parque de María Luisa;Sur;18;292;60260;;DUDOSO (11 candidatos);"Idx 60260 (H: 9.0m, Pos: 37.376502, -5.984668); Idx 60263 (H: 8.0m, Pos: 37.376296, -5.984743); Idx 60468 (H: 8.0m, Pos: 37.377858, -5.984164); Idx 60469 (H: 8.0m, Pos: 37.377878, -5.984234); Idx 60470 (H: 15.0m, Pos: 37.377904, -5.984357)"
39;V13;La Brousonetia de Ruperto Chapi;Broussonetia papyrifera;Glorieta de Ruperto Chapi;Cerro del Águila;Cerro Amate;9;368;53465;53465;UNICO SEGURO;Idx: 53465 (H: 9.0m, Pos: 37.376353, -5.960981)
40;V07;La Tara de la;Caesalpinia spinosa;Junto al bloque 24 de la Barriada de la Oliva;La Oliva;Sur;7;80;196573;196573;UNICO SEGURO;Idx: 196573 (H: 7.0m, Pos: 37.375284, -5.985845)
