Identificador,Nombre,Categoría,Normativa
5701,Abies pinsapo,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8787,Acer monspessulanum,-,-
8792,Acer opalus subsp. granatense,-,-
29628,Achnatherum calamagrostis,-,-
12956,Aconitum burnatii,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12959,Aconitum vulparia subsp. neapolitanum,-,-
106340,Adenocarpus argyrophyllus,-,-
13063,Adenocarpus gibbsianus,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
5902,Adonis vernalis,-,-
29706,Agropyron cristatum subsp. pectinatum,-,-
12061,Agrostis canina subsp. granatensis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12079,Agrostis schleicheri,-,-
29634,Alchemilla fontqueri,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
106341,Alchemilla straminea,-,-
12535,Allium moly,-,-
12547,Allium pruinatum,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12551,Allium rouyi,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
105823,Allium schoenoprasum,-,-
11445,Althenia orientalis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
104708,Alyssum gadorense,-,-
7413,Alyssum nevadense,-,-
77080,Amelanchier ovalis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
29642,Ammochloa palaestina,-,-
10625,Anacyclus alboranensis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
78040,Anagallis crassifolia,-,-
9433,Anchusa calcarea,-,-
9439,Anchusa puechii,-,-
12961,Androcymbium europaeum,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
104828,Androsace vitaliana subsp. nevadensis,-,-
10843,Andryala agardhii,-,-
104486,Antennaria dioica,-,-
10605,Anthemis bourgaei,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
7934,Anthyllis ramburii,-,-
7935,Anthyllis rupestris,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
104669,Anthyllis tejedensis subsp. plumosa,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
9913,Antirrhinum charidemi,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
9918,Antirrhinum graniticum subsp. onubensis,-,-
9033,Apium inundatum,-,-
9035,Apium repens (=Helosciadium repens),LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12906,Aquilegia pyrenaica subsp. cazorlensis,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
12910,Aquilegia vulgaris subsp. hispanica,-,-
12911,Aquilegia vulgaris subsp. nevadensis,-,-
7371,Arabis alpina,-,-
104829,Arabis margaritae,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
8616,Arceuthobium oxycedri,-,-
29663,Arctostaphylos uva-ursi,-,-
6419,Arenaria alfacarensis,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
6420,Arenaria algarbiensis,-,-
6421,Arenaria arcuatociliata,-,-
6430,Arenaria capillipes,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
6434,Arenaria delaguardiae,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
6449,Arenaria nevadensis,En peligro de extinción,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
6457,Arenaria racemosa,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
6464,Arenaria tetraquetra subsp. murcica,-,-
6466,Arenaria tomentosa,-,-
96450,Argantoniella salzmannii,-,-
11487,Arisarum proboscideum,-,-
6828,Armeria bourgaei subsp. bourgaei,-,-
6829,Armeria bourgaei subsp. lanceobracteata,-,-
6830,Armeria capitella,-,-
6831,Armeria colorata,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
108136,Armeria filicaulis subsp. alfacarensis,-,-
104830,Armeria filicaulis subsp. nevadensis,-,-
104651,Armeria filicaulis subsp. trevenqueana,-,-
6835,Armeria gaditana,-,-
13096,Armeria genesiana subsp. genesiana,-,-
6837,Armeria hirta,-,-
6840,Armeria hispalensis,-,-
6843,Armeria linkiana,-,-
6845,Armeria macrophylla,-,-
6846,Armeria malacitana,-,-
6850,Armeria pauana,-,-
6852,Armeria pungens,-,-
6856,Armeria splendens,-,-
105874,Armeria trianoi,-,-
6860,Armeria velutina,LAESRPE,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
113366,Armeria villosa subsp. serpentinicola,-,-
6866,Armeria villosa subsp. villosa,-,-
10703,Artemisia alba subsp. nevadensis,Vulnerable,Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas
10707,Artemisia caerulescens subsp. caerulescens,-,-
104831,Artemisia chamaemelifolia,-,-
10711,Artemisia crithmifolia,-,-
