Identificador,"Nombre","Categoría","Normativa"
5701,"Abies pinsapo","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
8787,"Acer monspessulanum","-","-"
8792,"Acer opalus subsp. granatense","-","-"
29628,"Achnatherum calamagrostis","-","-"
12956,"Aconitum burnatii","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
12959,"Aconitum vulparia subsp. neapolitanum","-","-"
2563,"Actitis hypoleucos","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106340,"Adenocarpus argyrophyllus","-","-"
13063,"Adenocarpus gibbsianus","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
5902,"Adonis vernalis","-","-"
15005,"Aegypius monachus","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
97135,"Aeshna","-","-"
114063,"Afruca tangeri","-","-"
105888,"Agriades zullichi","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106800,"Agrodiaetus violetae","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
29706,"Agropyron cristatum subsp. pectinatum","-","-"
12061,"Agrostis canina subsp. granatensis","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
12079,"Agrostis schleicheri","-","-"
16199,"Aix galericulata","-","-"
105771,"Aix sponsa","-","-"
2601,"Alca torda","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
2647,"Alcedo atthis","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
29634,"Alchemilla fontqueri","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
106341,"Alchemilla straminea","-","-"
12535,"Allium moly","-","-"
12547,"Allium pruinatum","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
12551,"Allium rouyi","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
105823,"Allium schoenoprasum","-","-"
16195,"Alopochen aegyptiaca","-","-"
11445,"Althenia orientalis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104708,"Alyssum gadorense","-","-"
7413,"Alyssum nevadense","-","-"
77080,"Amelanchier ovalis","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
29642,"Ammochloa palaestina","-","-"
10625,"Anacyclus alboranensis","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
3571,"Anaecypris hispanica","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
78040,"Anagallis crassifolia","-","-"
2451,"Anas","-","-"
2455,"Anas acuta","-","-"
15007,"Anas crecca","-","-"
15002,"Anas platyrhynchos","-","-"
1429,"Anax","-","-"
1430,"Anax imperator","-","-"
9433,"Anchusa calcarea","-","-"
9439,"Anchusa puechii","-","-"
12961,"Androcymbium europaeum","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104828,"Androsace vitaliana subsp. nevadensis","-","-"
10843,"Andryala agardhii","-","-"
3641,"Anguilla anguilla","-","-"
15011,"Anser anser","-","-"
15010,"Anser fabalis","-","-"
104486,"Antennaria dioica","-","-"
10605,"Anthemis bourgaei","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
7934,"Anthyllis ramburii","-","-"
7935,"Anthyllis rupestris","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
104669,"Anthyllis tejedensis subsp. plumosa","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
9913,"Antirrhinum charidemi","Vulnerable","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
9918,"Antirrhinum graniticum subsp. onubensis","-","-"
3502,"Aphanius baeticus","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
3501,"Aphanius iberus","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
9033,"Apium inundatum","-","-"
9035,"Apium repens (=Helosciadium repens)","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
108091,"Aplysina","LAESRPE","Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden AAA/75/2012)-"
108092,"Aplysina aerophoba","LAESRPE","Decreto 23/2012 -Real Decreto 139/2011. LESRPE y Catálogo Español de Especies Amenazadas (Orden AAA/75/2012)-"
2643,"Apus caffer","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
15018,"Aquila adalberti","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
15017,"Aquila chrysaetos","LAESRPE","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
12906,"Aquilegia pyrenaica subsp. cazorlensis","En peligro de extinción","Decreto 23/2012. LAESRPE y Catálogo Andaluz de Especies Amenazadas"
