Nº Ejemplar (Guía);Código;Nombre Singular (Guía);Especie Científica;Latitud;Longitud;IDX
;;;Casuarina equisetifolia L;37.342893;-5.96917;1780434633634
;;;Ficus macrophylla;37.380665;-5.99248;93533
;;;Ficus microcarpa;37.391186;-5.988491;97813
;;;Magnolia grandiflora;37.385239;-5.993737;121066
;;;Ficus macrophylla;37.376676;-5.99121;128942
;;;Feijoa sellowiana;37.385225;-5.988526;129339
;;;Pinus pinea;37.381611;-5.994228;129818
;;;Eucalyptus camaldulensis;37.382187;-5.988762;133982
;;;Lagunaria patersonii;37.379093;-5.991951;147996
;;;Ficus macrophylla;37.392343;-5.98964;161332
;;;Ficus microcarpa;37.387139;-6.002608;161947
;;;Bauhinia sp;37.395693;-5.983496;162121
;;;Brachychiton acerifolius;37.39601;-5.983294;162173
;;;Schefflera actinophylla;37.378217;-5.990902;193620
;;;Eucalyptus camaldulensis Dehnh;37.395021;-5.984813;1780435303897
;;;Platanus x hispanica;37.401264;-5.98594;1780436679578
;;;Trachycarpus fortunei;37.382739;-5.989594;1780437448699
;;;Parasenegalia visco;37.385542;-5.999511;1780438752486
;;;Phoenix dactylifera L.;37.389329;-5.993949;1780438821432
;;;Broussonetia papyrifera;37.376353;-5.960981;53465
;;;Tipuana tipu;37.375816;-5.998954;91286
;;;Tipuana tipu;37.373831;-6.004465;147824
;;;Eucalyptus camaldulensis;37.356513;-6.021388;1780437929749
;;;Cupressus sempervirens;37.419225;-5.980986;181583
;;;Caesalpina gilliesii;37.366305;-5.971086;4733
;;;Eucalyptus sp;37.370554;-5.979693;61616
;;;Platanus hispanica;37.373651;-5.990939;151742
;;;Pinus canariensis;37.374009;-5.990977;151747
;;;Buxus sempervirens;37.370319;-5.989;151972
;;;Tetraclinis articulata;37.373146;-5.986432;157995
;;;Ficus macrophylla;37.37748;-5.98996;158370
;;;Platanus hispanica;37.375515;-5.988974;158817
;;;Araucaria cunninghami;37.377236;-5.988926;159172
;;;Taxodium distichum;37.374957;-5.988525;159787
;;;Taxodium distichum;37.377789;-5.989121;159799
;;;Podocarpus nerifolius;37.372552;-5.98648;159889
;;;Pinus pinea;37.373267;-5.987487;160011
;;;Platanus hispanica;37.377966;-5.98933;160714
;;;Swietenia macrophylla;37.365189;-5.97332;168112
;;;Bucida buceras;37.364807;-5.973562;168137
;;;Ficus sp;37.375559;-5.977053;178018
;;;Diospyros virginiana;37.374448;-5.986421;182916
;;;Platanus hispanica;37.371347;-5.990639;188482
;;;Phoenix reclinata Jacq.;37.370793;-5.990031;1780436170577
;;;Phoenix dactylifera L.;37.376629;-5.990624;1780438088703
;;;Washingtonia robusta;37.359144;-5.960662;1780440577305
;;;Ficus elastica;37.385328;-6.003025;95412
;;;Haematoxylon campechian;37.398287;-6.005186;162294
;;;Pachycereus pringlei;37.409248;-6.003466;1780435870742
